col_0,col_1,col_2,col_3,FY 2024/FY 2025
Civilian FTEs (Total),992.0,936.0,"1,016",80.0
DIRECT FUNDED,983.0,919.0,999,80.0
"Direct Hire, U.S.",983.0,919.0,999,80.0
"Direct Hire, Foreign National",0.0,0.0,0,0.0
Total Direct Hire,983.0,919.0,999,80.0
"Indirect Hire, Foreign National",0.0,0.0,0,0.0
REIMBURSABLE FUNDED,9.0,17.0,17,0.0
"Direct Hire, U.S.",9.0,17.0,17,0.0
"Direct Hire, Foreign National",0.0,0.0,0,0.0
Total Direct Hire,9.0,17.0,17,0.0
"Indirect Hire, Foreign National",0.0,0.0,0,0.0
Annual Civilian Salary Cost,163.0,177.0,188,11.0
MILITARY TECHNICIANS,,,,
U.S. DIRECT HIRE,0.0,0.0,0,0.0
Contractor FTEs (Total) 2,627.0,617.0,561,-56.0
